# 0 = void, 1 = point, 2 = special_point, 3 = vertical line,
# 4 = horizontal line, 5 = top right, 6 = top left, 7 = bottom left, 8 = bottom right
# 9 = gate, 10 = Blinky, 11 = Inky, 12 = Pinky, 13 = Clyde, 14 = player 1, 15 = player 2
# 99 = invisible block
# 80-95 = block
# 88-95 = down; 84-87,92-95 = right; 82-83,86-87,90-91,94-95 = top; 81,83,85,87,89,91,93,95 = left

[
[95,85,85,85,85,85,91, 1,90,99,99,99,99,90,90,90,90,99,99,99,99,90, 1,94,85,85,85,85,85,95],
[94,85,85,85,85,85,83, 1,86,85,85,85,85,87,87,87,87,85,85,85,85,83, 1,86,85,85,85,85,85,91],
[90, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2,90],
[90, 1,92,85,85,85,89, 1,92,89, 1,92,85,93,93,93,93,85,89, 1,92,89, 1,92,85,85,85,89, 1,90],
[90, 1,86,85,85,85,83, 1,86,83, 1,86,85,87,87,87,87,85,83, 1,86,83, 1,86,85,85,85,83, 1,90],
[90, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,90],
[90, 1,88, 1,88, 1,92,85,85,85,85,89, 1,92,93,93,89, 1,92,85,85,85,85,89, 1,88, 1,88, 1,90],
[90, 1,90, 1,90, 1,90,99,99,99,99,90, 1,90,90,90,90, 1,90,99,99,99,99,90, 1,90, 1,90, 1,90],
[90, 1,90, 1,90, 1,90,99,99,99,99,90, 1,90,90,90,90, 1,90,99,99,99,99,90, 1,90, 1,90, 1,90],
[90, 1,90, 1,90, 1,90,99,99,92,85,83, 1,86,87,87,83, 1,86,85,89,99,99,90, 1,90, 1,90, 1,90],
[90, 1,90, 1,90, 1,90,99,99,90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,90,99,99,90, 1,90, 1,90, 1,90],
[90, 1,90, 1,90, 1,90,99,99,90, 0,92,85,85, 9, 9,85,85,89, 0,90,99,99,90, 1,90, 1,90, 1,90],
[90, 1,90, 1,90, 1,90,99,99,90, 0,90, 0, 0,11,12, 0, 0,90, 0,90,99,99,90, 1,90, 1,90, 1,90],
[83, 1,82, 1,82, 1,86,85,85,83, 0,90, 0, 0, 0, 0, 0, 0,90, 0,86,85,85,83, 1,82, 1,82, 1,86],
[ 1, 1, 1,14, 1, 1, 1, 1, 1, 1, 0,90,10, 0, 0, 0, 0,13,90, 0, 1, 1, 1, 1, 1, 1,15, 1, 1, 1],
[85,85,89, 1,92,85,85,89, 1,88, 0,86,85, 9,85,85, 9,85,83, 0,88, 1,92,85,85,89, 1,92,85,85],
[99,99,90, 1,86,85,85,83, 1,90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,90, 1,86,85,85,83, 1,90,99,99],
[99,99,90, 1, 1, 1, 1, 1, 1,94,85,89, 1,92,93,93,89, 1,92,85,91, 1, 1, 1, 1, 1, 1,90,99,99],
[92,85,83, 1,92,89, 1,92,85,83,99,90, 1,90,90,90,90, 1,90,99,86,85,89, 1,92,89, 1,86,85,89],
[90, 1, 1, 1,94,91, 1,90,99,99,99,90, 1,90,90,90,90, 1,90,99,99,99,90, 1,94,91, 1, 1, 1,90],
[90, 1,92,85,95,91, 1,90,99,99,99,90, 1,90,90,90,90, 1,90,99,99,99,90, 1,94,95,85,89, 1,90],
[90, 1,90,99,90,90, 1,90,99,92,85,83, 1,90,90,90,90, 1,86,85,89,99,90, 1,90,90,99,90, 1,90],
[90, 1,86,85,87,83, 1,90,99,90, 1, 1, 1,90,90,90,90, 1, 1, 1,90,99,90, 1,86,87,85,83, 1,90],
[90, 1, 1, 1, 1, 1, 1,90,99,90, 1,92,85,83,90,90,86,85,89, 1,90,99,90, 1, 1, 1, 1, 1, 1,90],
[94,85,85,89, 1,88, 1,86,85,83, 1,86,85,85,87,87,85,85,83, 1,86,85,83, 1,88, 1,92,85,85,91],
[90,99,99,90, 1,90, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,90, 1,90,99,99,90],
[90,99,99,90, 1,86,85,93,85,89, 1,92,85,93,93,93,93,85,89, 1,92,85,93,85,83, 1,90,99,99,90],
[90,99,99,90, 2, 1, 1,86,85,83, 1,90,99,90,90,90,90,99,90, 1,86,85,83, 1, 1, 2,90,99,99,90],
[90,99,99,86,85,89, 1, 1, 1, 1, 1,94,85,83,90,90,86,85,91, 1, 1, 1, 1, 1,92,85,83,99,99,90],
[95,85,85,85,85,87,89, 1,92,85,85,87,85,85,87,87,85,85,87,85,85,89, 1,92,87,85,85,85,85,95]]
